"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"ERBB4",309.132933190123,-1.13474121343484,0.105958026926677,-10.7093463926059,9.20091037275302e-27,9.2837185661078e-24,"ERBB4","Ex_L6b"
"LINC-PINT",29.2919857118789,1.96162140505283,0.204018837820077,9.61490333938071,6.91742911137264e-22,3.4898429866875e-19,"LINC-PINT","Ex_L6b"
"ENSG00000286863",11.2146453283219,3.27576463113604,0.356290979718647,9.19407118788924,3.78248117396041e-20,1.27217450150868e-17,"ENSG00000286863","Ex_L6b"
"LRRC49",9.18413733672636,3.18355104567664,0.37808003811523,8.42030978823158,3.75490091997689e-17,9.47173757064172e-15,"LRRC49","Ex_L6b"
"PDE4D",86.4213891723098,-1.4079954696674,0.170688876407566,-8.24889998282857,1.59859154801539e-16,3.22595774389506e-14,"PDE4D","Ex_L6b"
"LINGO2",34.4440475677624,-3.37389375099951,0.441372389105025,-7.64409789620232,2.1041527703487e-14,3.0329859218312e-12,"LINGO2","Ex_L6b"
"FOXN3",9.84129332868212,2.57986714017361,0.337204882136352,7.65074077169031,1.99824810255716e-14,3.0329859218312e-12,"FOXN3","Ex_L6b"
"THSD7A",69.8355158372283,-1.32009754509645,0.18079466298005,-7.30164001158663,2.84281038709279e-13,3.58549460072079e-11,"THSD7A","Ex_L6b"
"NEAT1",7.76447893765609,2.69519673712425,0.371557522813596,7.25378056327602,4.05296558119441e-13,4.54382474602796e-11,"NEAT1","Ex_L6b"
"GALNTL6",101.357436515749,-1.43989317509728,0.199477862079602,-7.2183106440287,5.26373658079678e-13,5.31111021002395e-11,"GALNTL6","Ex_L6b"
"COL4A2",8.98242248923668,2.58138129128363,0.362966833584556,7.11189302281603,1.1446197157404e-12,1.04992844834733e-10,"COL4A2","Ex_L6b"
"SIK3",19.5380566370268,1.61720775488759,0.230880821209642,7.00451317876744,2.47846094264002e-12,2.08397257593648e-10,"SIK3","Ex_L6b"
"DENND2A",8.82564078263766,2.37998268868556,0.344101826432784,6.91650699259063,4.62915578829792e-12,3.58979667470412e-10,"DENND2A","Ex_L6b"
"LDLRAD4",13.178464201137,2.08119771591731,0.301355568584614,6.90611998873004,4.98088735836053e-12,3.58979667470412e-10,"LDLRAD4","Ex_L6b"
"SYN3",12.9621635771337,2.34625612486034,0.369271588282091,6.35374125525198,2.10140191408434e-10,1.41354302087406e-08,"SYN3","Ex_L6b"
"TIAM1",24.3123147877431,1.44767733854204,0.229175677121105,6.31688910763874,2.66880939523079e-10,1.68301792486742e-08,"TIAM1","Ex_L6b"
