"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"NRXN3",99.7972926311326,-1.04224023861662,0.122222806730879,-8.52737935327829,1.49700322702663e-17,1.09835126766944e-13,"NRXN3","COPs"
"LMNA",6.6308798953549,2.44228757209508,0.294992089011944,8.27916294391271,1.24044107625639e-16,4.18405779856511e-13,"LMNA","COPs"
"CTNNA2",53.0781547664153,-2.15669117072088,0.261709345184382,-8.24078776858898,1.71080460620081e-16,4.18405779856511e-13,"CTNNA2","COPs"
"NFKBIA",5.9477438201157,2.54810082815496,0.317566850258177,8.0238249870331,1.02502312037497e-15,1.88014865854778e-12,"NFKBIA","COPs"
"MDGA2",20.0484211060261,-1.62034105129403,0.202758294505098,-7.99149083024706,1.33316635572887e-15,1.95628831039654e-12,"MDGA2","COPs"
"NEAT1",97.437914364883,2.33926555044763,0.298440521625726,7.83829735219835,4.5669651499536e-15,5.58463721753493e-12,"NEAT1","COPs"
"ADAMTS19",2.97808418279873,-2.53941962109554,0.337989923626471,-7.51329978671782,5.76552914725922e-14,6.0430981933487e-11,"ADAMTS19","COPs"
"NKAIN2",76.7299736533023,-0.898614270807897,0.12520584286566,-7.17709533549541,7.1208035624144e-13,6.53066696717931e-10,"NKAIN2","COPs"
"OBI1-AS1",4.18880523277867,-3.78486306576201,0.529478754342286,-7.14828127610811,8.78711200286821e-13,7.16344897389379e-10,"OBI1-AS1","COPs"
"NKAIN3",5.85611566068715,-4.08899470930617,0.574113016703417,-7.12228183361067,1.06154705532743e-12,7.78857074493736e-10,"NKAIN3","COPs"
"FSTL5",5.07441892682985,-4.01286633683352,0.580219156964137,-6.91612175962944,4.64175482986056e-12,3.09605047151699e-09,"FSTL5","COPs"
"RORA",22.3710477190919,-2.19298787680615,0.321726308013628,-6.81631505469939,9.34053378325061e-12,5.71095803064248e-09,"RORA","COPs"
"ERBIN",101.407779619872,1.26049513447354,0.187018089190677,6.73996371114873,1.58426194349861e-11,8.94133067649948e-09,"ERBIN","COPs"
